traits	patch	samp.dates	short.names
5_5972_2013.312329	6	2013.312329	5_5972
4_9611_2013.353425	5	2013.353425	4_9611
4_9610_2013.29863	5	2013.29863	4_9610
5_5971_2013.241096	6	2013.241096	5_5971
5_5969_2013.345205	6	2013.345205	5_5969
5_5967_2013.30411	6	2013.30411	5_5967
5_5966_2013.323288	6	2013.323288	5_5966
2_22302_2013.257534	3	2013.257534	2_22302
5_5963_2013.265753	6	2013.265753	5_5963
5_5962_2013.254795	6	2013.254795	5_5962
2_22301_2013.268493	3	2013.268493	2_22301
2_22296_2013.306849	3	2013.306849	2_22296
2_22294_2013.263014	3	2013.263014	2_22294
5_5957_2013.29863	6	2013.29863	5_5957
5_5956_2013.210959	6	2013.210959	5_5956
5_5954_2013.279452	6	2013.279452	5_5954
4_9608_2013.29863	5	2013.29863	4_9608
2_22292_2013.224658	3	2013.224658	2_22292
5_5948_2013.263014	6	2013.263014	5_5948
5_5946_2013.257534	6	2013.257534	5_5946
2_22290_2013.271233	3	2013.271233	2_22290
5_5945_2013.227397	6	2013.227397	5_5945
5_5944_2013.219178	6	2013.219178	5_5944
5_5942_2013.205479	6	2013.205479	5_5942
4_9602_2013.246575	5	2013.246575	4_9602
4_9601_2013.252055	5	2013.252055	4_9601
4_9600_2013.317808	5	2013.317808	4_9600
4_9598_2013.238356	5	2013.238356	4_9598
5_5937_2013.2	6	2013.2	5_5937
4_9597_2013.243836	5	2013.243836	4_9597
5_5934_2013.312329	6	2013.312329	5_5934
4_9595_2013.221918	5	2013.221918	4_9595
2_22289_2013.227397	3	2013.227397	2_22289
5_5931_2013.257534	6	2013.257534	5_5931
2_22288_2013.383562	3	2013.383562	2_22288
5_5930_2013.210959	6	2013.210959	5_5930
5_5929_2013.2	6	2013.2	5_5929
5_5928_2013.224658	6	2013.224658	5_5928
2_22285_2013.19726	3	2013.19726	2_22285
5_5927_2013.232877	6	2013.232877	5_5927
4_9593_2013.167123	5	2013.167123	4_9593
5_5926_2013.227397	6	2013.227397	5_5926
